1	181628421
2	20180839
Wikipedia:Administrators noticeboard/Incidents	880
Wikipedia:Sandbox	766
Wikipedia:Administrator intervention against vandalism	494
Avengers: Infinity War	413
Wikipedia:Administrators noticeboard/Edit warring	391
Talk:Main Page	385
Deaths in 2018	376
Wikipedia:Requests for page protection	343
Wikipedia:In the news/Candidates	332
Solo: A Star Wars Story	298
List of Marvel Cinematic Universe films	292
Stoneman Douglas High School shooting	292
Ralph Breaks the Internet	289
Wikipedia:Administrators noticeboard	281
User talk:Oshwah	280
2018	276
The Voice (U.S. season 15)	254
User:A.S. Brown	249
Wikipedia:Teahouse	249
WrestleMania 34	245
Cristiano Ronaldo	244
Donald Trump	239
List of original programs distributed by Netflix	235
Operation Olive Branch	228
Ready Player One (film)	228
Royal Rumble (2018)	225
2.0 (film)	224
Sweetener (album)	223
Antisemitism in the UK Labour Party	218
Carl Benjamin	216
Christopher Robin (film)	215
Incredibles 2	209
User talk:Walter Görlitz	208
Kamikaze (Eminem album)	207
Coco (2017 film)	206
User talk:Jimbo Wales	205
Black Panther (film)	204
2018 Atlantic hurricane season	203
Bepannah	201
DuckTales (2017 TV series)	201
Bullet Club	198
Eurovision Song Contest 2019	193
Talk:Donald Trump	193
2018 Pacific typhoon season	190
Naagin (2015 TV series)	186
Wikipedia:Edit filter/False positives/Reports	186
Tommy Robinson (activist)	184
Wikipedia:Help desk	184
AR-15 style rifle	182
The Incredibles	181
List of current champions in WWE	177
MTA Regional Bus Operations bus fleet	177
Venom (2018 film)	177
2018 Liga 1	172
Deadpool 2	172
2018 in Fight Nights Global	169
Draft:Sandbox	169
Miss Universe 2018	169
American Horror Story: Apocalypse	167
Ant-Man and the Wasp	167
Avengers: Endgame	167
List of WWE personnel	167
Teen Titans Go! To the Movies	166
2018 Pacific hurricane season	164
Sarkar (2018 film)	164
2017–18 Premier League	163
RuPauls Drag Race All Stars (season 3)	163
Sofia Airport	161
Americas Next Top Model (season 24)	159
Proposed acquisition of 21st Century Fox by Disney	159
The Fairly OddParents	159
WWE Greatest Royal Rumble	159
User:Jimbo Wales	157
DC Extended Universe	156
Brockhampton (band)	154
Toy Story 4	154
Wikipedia:Requested moves/Technical requests	153
Junior Eurovision Song Contest 2018	152
List of UFC champions	152
Star Wars: The Last Jedi	152
User talk:Bbb23	152
Doctor Who (series 11)	149
Justice League (film)	149
White Helmets (Syrian Civil War)	149
2018 Winter Olympics	147
Hotel Transylvania 3: Summer Vacation	147
User:CBB22	147
Captain Marvel (film)	145
Jordan Peterson	144
Big City Greens	142
David de Gea	142
Dunkirk (2017 film)	142
List of most-subscribed YouTube channels	142
Philippe Coutinho	142
2018–19 UEFA Champions League	140
List of Steven Universe episodes	140
Poisoning of Sergei and Yulia Skripal	140
RuPauls Drag Race (season 10)	140
The Grinch (film)	140
2018 in South Korean music	139
Red Dead Redemption 2	139
Spider-Man: Into the Spider-Verse	139
2020 United States presidential election	138
Alexandria Ocasio-Cortez	138
2018 FIFA World Cup	137
Dolores ORiordan	136
Gab (social network)	136
Italy	136
Meghan, Duchess of Sussex	136
Cartoon Network	135
Elimination Chamber (2018)	135
List of most-viewed online videos in the first 24 hours	135
Thor: Ragnarok	135
Premier League	134
Prince Harry, Duke of Sussex	134
Zero (2018 film)	134
2022 FIFA World Cup	133
Sridevi	133
2017 Atlantic hurricane season	132
Brett Kavanaugh	132
Incel	132
Qatar Airways	132
WarnerMedia	132
Kerala	131
Luka Modrić	131
XXXTentacion	131
2018 Formula One World Championship	129
Jurassic World: Fallen Kingdom	129
List of the oldest living people	129
Toys "R" Us	129
MasterChef (U.S. season 9)	128
Wikipedia:Reference desk/Humanities	128
2018–19 Premier League	127
Hurricane Maria	127
Dangerous World Tour	126
List of countries and dependencies by population	126
IndiGo	125
Lady Gaga	125
List of most-viewed YouTube videos	125
Three Billboards Outside Ebbing, Missouri	125
Western world	124
Wikipedia:Reference desk/Miscellaneous	124
2017–18 Iranian protests	123
India	123
White genocide conspiracy theory	123
User talk:John from Idegon	122
Beauty and the Beast (2017 film)	121
Roger Federer	121
Same-sex marriage	121
Aquaman (film)	120
Sergio Agüero	120
South African farm attacks	120
Douma chemical attack	119
Kaal Bhairav Rahasya	119
Me Too movement	119
Melissa Benoist	119
Kotromanić dynasty	118
Lionel Messi	118
List of metro systems	118
Sambhaji	118
Blade Runner 2049	117
East Germany	117
Muangthong United F.C.	117
The Greatest Showman	117
User talk:Shellwood	117
Antifa (United States)	116
Gavin McInnes	116
Kasautii Zindagii Kay (2018 TV series)	116
Jair Bolsonaro	115
List of school shootings in the United States	115
1998	114
Baaghi 2	114
Bitcoin Cash	114
Queen (Nicki Minaj album)	114
Karim Benzema	113
Marouane Fellaini	113
Mission: Impossible – Fallout	113
Xherdan Shaqiri	113
2018 United States House of Representatives elections	112
Pierre-Emerick Aubameyang	112
Sony Pictures Animation	112
Wikipedia:Reference desk/Language	112
Jeremy Corbyn	111
2017 in Fight Nights Global	110
Bohemian Rhapsody (film)	110
Dancing with the Stars (U.S. season 27)	110
Escape the Night	110
National Rifle Association	110
Ousmane Dembélé	110
Wikipedia:Reference desk/Science	110
2026 FIFA World Cup	109
2018 World Snooker Championship	108
List of programs broadcast by StarPlus	108
Virgil van Dijk	108
Anthony Bourdain	107
Talk:Sarah Jeong	107
Cathy Newman	106
Dele Alli	106
Saoirse Ronan	106
Sergio Ramos	106
Thugs of Hindostan	106
2018 FIFA World Cup squads	105
2019 Formula One World Championship	105
Alex Jones	105
Brazil national football team	105
Generation Z	105
Lauren Southern	105
List of American Horror Story cast members	105
Proud Boys	105
Titans (2018 TV series)	105
Big Brother 20 (U.S.)	104
How to Train Your Dragon: The Hidden World	104
List of Coronation Street characters	104
WWE Universal Championship	104
2018 IndyCar Series	103
Bordeaux–Mérignac Airport	103
Dinner Party (The Office)	103
Halloween (2018 film)	103
The View (talk show)	103
Ye (album)	103
Big Brother Canada (season 6)	102
FaZe Clan	102
Race 3	102
Travis Scott	102
Wikipedia:Reference desk/Mathematics	102
2018 in film	101
Camila (album)	101
Doctor Who	101
InfoWars	101
Azerbaijan	100
Bigg Boss Telugu 2	100
Daniel Arzani	100
Matt Hardy	100
Mike Cernovich	100
Mohamed Salah	100
October (2018 film)	100
Trump–Russia dossier	100
2018 Ontario general election	99
Andi Mack	99
Columbia University	99
Dove Cameron	99
Jamie Vardy	99
Kevin De Bruyne	99
List of Falcon 9 and Falcon Heavy launches	99
Peter Rabbit (film)	99
United States	99
Allahabad	98
Bitcoin	98
God of War (2018 video game)	98
List of animated works with LGBT characters	98
List of countries with overseas military bases	98
Naomi Osaka	98
No Tears Left to Cry	98
Pose (TV series)	98
Tangled: The Series	98
Adolf Hitler	97
Indus Valley Civilisation	97
List of original films distributed by Netflix	97
List of Pixar films	97
Normani	97
Pakatan Harapan	97
Pittsburgh synagogue shooting	97
School of Performing Arts Seoul	97
Slipknot (band)	97
Timothée Chalamet	97
Tucker Carlson	97
Artificial intelligence	96
Batman v Superman: Dawn of Justice	96
Detroit: Become Human	96
Turning Point USA	96
Backlash (2018)	95
Black Pink	95
Bunkd	95
Dawood Ibrahim	95
Impact Wrestling	95
Lega Nord	95
Legacies (TV series)	95
List of EastEnders characters (2017)	95
Opinion polling for the next United Kingdom general election	95
Reputation (Taylor Swift album)	95
Ryan Reynolds	95
Tham Luang cave rescue	95
Dhadak	94
List of programs broadcast by Colors	94
Template:2018–19 EFL League One table	94
1997	93
Guardians of the Galaxy Vol. 2	93
Isle of Dogs (film)	93
List of programs broadcast by Sony Entertainment Television (India)	93
Racial views of Donald Trump	93
Red Velvet (group)	93
Sanjay Dutt	93
Sanju	93
The Crown (TV series)	93
Thomas Lemar	93
2017 Las Vegas shooting	92
England national football team	92
Finding Nemo	92
Heathrow Airport	92
Karnataka	92
List of programs broadcast by SAB TV	92
NXT TakeOver: New Orleans	92
Tesla, Inc.	92
YoungBoy Never Broke Again	92
2018 missile strikes against Syria	91
Gal Gadot	91
Gorillaz	91
List of The Loud House episodes	91
Major film studio	91
Malaysia Airlines Flight 17	91
NF (rapper)	91
NGolo Kanté	91
Rangasthalam	91
Tamil Nadu	91
2018 in spaceflight	90
6ix9ine	90
Alisson (footballer, born 1992)	90
Alt-right	90
Carles Puigdemont	90
Keerthy Suresh	90
Robin Williams	90
The Flash (season 4)	90
2016 in Fight Nights Global	89
Assassination of Jamal Khashoggi	89
Communist Party of China	89
Cryptocurrency	89
Economy of Pakistan	89
Imagine Dragons	89
List of programs broadcast by Nickelodeon	89
Malaysia Airlines Flight 370	89
My Little Pony: Friendship Is Magic (season 8)	89
Ravens Home	89
Sonic the Hedgehog (film)	89
Taarak Mehta Ka Ooltah Chashmah	89
Taiwan	89
The Adventures of Kid Danger	89
Warner Bros. Animation	89
Adolf Eichmann	88
Call of Duty: Black Ops 4	88
Elon Musk	88
Frozen (2013 film)	88
Imran Khan	88
John Cotton (minister)	88
Joji (musician)	88
Kirstjen Nielsen	88
National Party (Ireland, 2016)	88
Rush (band)	88
Saudi Arabia	88
SpongeBob SquarePants (season 11)	88
World of Dance (season 2)	88
Adele	87
American Idol (season 16)	87
Candace Owens	87
Chilling Adventures of Sabrina (TV series)	87
David Hogg (activist)	87
List of DreamWorks Animation productions	87
Naby Keïta	87
PragerU	87
Sasural Simar Ka	87
Super Mario Odyssey	87
The Legend of Zelda: Breath of the Wild	87
2018 Cricket World Cup Qualifier	86
90th Academy Awards	86
Black Lightning (TV series)	86
Gran Hermano VIP (season 6)	86
International Baccalaureate	86
Kaala (2018 film)	86
List of Holby City characters	86
List of WWE Network events	86
User talk:Favonian	86
Anne Hutchinson	85
Beto ORourke	85
Elizabeth Warren	85
Get Out	85
Illumination (animation company)	85
List of European countries by average wage	85
List of WWE Champions	85
Prince (musician)	85
Richard H. Anderson (businessman)	85
Spider-Man: Far From Home	85
Stray Kids	85
2017–18 NFL playoffs	84
2018 Stanley Cup playoffs	84
Becky Lynch	84
Chester Bennington	84
Emily Blunt	84
Enzo Amore	84
Ethiopia	84
Gina Haspel	84
Kamala Harris	84
Karl Marx	84
List of EastEnders characters (2018)	84
List of The Lion Guard episodes	84
Marco Asensio	84
Tay-K	84
Zombies (2018 film)	84
2018 Pakistani general election	83
2018 WeatherTech SportsCar Championship	83
Alternative for Germany	83
Brie Larson	83
Heights of presidents and presidential candidates of the United States	83
Hotel Transylvania: The Series	83
Identitarian movement	83
Ishqbaaaz	83
N,N-Dimethyltryptamine	83
Super Bowl LII	83
The Lion Guard	83
The Shape of Water	83
Trent Alexander-Arnold	83
Andhra Pradesh	82
Bhuvan Bam	82
Bumblebee (film)	82
Dark Phoenix (film)	82
